CatalogId,NoradId,Name
424,424,ALOUETTE 1 (S-27)
426,426,THOR AGENA B R/B
510,510,THOR AGENA B DEB
511,511,THOR AGENA B DEB
669,669,THOR ABLESTAR R/B
670,670,TRANSIT 5B-1
671,671,RADIATION SAT (5E 1)
672,672,THOR ABLESTAR DEB
742,742,THOR AGENA B DEB
745,745,THOR ABLESTAR DEB
805,805,SCOUT X-4 DEB
870,870,EXPLORER 20
871,871,SCOUT X-4 R/B
899,899,EXPLORER 22
907,907,SCOUT X-4 R/B
977,977,SCOUT X-4 DEB
1314,1314,OPS 4682 (SNAPSHOT)
1315,1315,SECOR 4 (EGRS 4)
1316,1316,OPS 4682 DEB
1399,1399,OPS 4682 DEB
1420,1420,OPS 8480 (TRANSIT 5B-6)
1425,1425,THOR ABLESTAR DEB
1428,1428,THOR ABLESTAR R/B
1435,1435,THOR ABLESTAR DEB
1512,1512,TEMPSAT 1
2097,2097,TRANSIT 5B-1 DEB
2386,2386,SCOUT A DEB
2701,2701,THOR ABLESTAR DEB
3133,3133,OPS 7034 (TRANSIT 18)
3137,3137,SCOUT A R/B
3166,3166,TRANSIT 5B-1 DEB
3592,3592,THOR ABLESTAR DEB
3605,3605,OPS 7684
3618,3618,OPS 7684 DEB
3673,3673,OPS 2644
4394,4394,SL-3 R/B
4419,4419,METEOR 1-5
4420,4420,SL-3 R/B
4814,4814,SL-3 R/B
5036,5036,SCOUT A DEB
5117,5117,COSMOS 405
5118,5118,SL-3 R/B
5265,5265,THOR ABLESTAR DEB
5384,5384,OV1-20/OV1-21 DEB
5395,5395,OV1-20/OV1-21 AKM
5397,5397,OV1-21 R/B
5398,5398,RIGIDSPHERE 2 (LCS 4)
5731,5731,METEOR 1-10
5732,5732,SL-3 R/B
5905,5905,COSMOS 480
5907,5907,SL-8 R/B
5917,5917,METEOR 1-11
5918,5918,SL-3 R/B
6079,6079,METEOR 1-12
6080,6080,SL-3 R/B
6148,6148,COSMOS 514
6149,6149,SL-8 R/B
6173,6173,TRIAD 1
6180,6180,SCOUT B-1 R/B
6256,6256,METEOR 1-13
6257,6257,SL-3 R/B
6277,6277,SL-8 DEB
6284,6284,SCOUT B-1 DEB
6392,6392,METEOR 1-14
6393,6393,SL-3 R/B
6659,6659,METEOR 1-15
6660,6660,SL-3 R/B
6707,6707,COSMOS 574
6708,6708,SL-8 R/B
6828,6828,COSMOS 586
6829,6829,SL-8 R/B
7008,7008,COSMOS 627
7009,7009,SL-8 R/B
7094,7094,COSMOS 628
7095,7095,SL-8 R/B
7209,7209,METEOR 1-16
7210,7210,SL-3 R/B
7274,7274,METEOR 1-17
7275,7275,SL-3 R/B
7349,7349,COSMOS 663
7350,7350,SL-8 R/B
7363,7363,METEOR 1-18
7364,7364,SL-3 R/B
7476,7476,COSMOS 689
7477,7477,SL-8 R/B
7490,7490,METEOR 1-19
7493,7493,SL-3 R/B
7560,7560,SL-8 DEB
7574,7574,METEOR 1-20
7575,7575,SL-3 R/B
7593,7593,COSMOS 700
7594,7594,SL-8 R/B
7714,7714,METEOR 1-21
7715,7715,SL-3 R/B
7736,7736,COSMOS 726
7737,7737,SL-8 R/B
7768,7768,COSMOS 729
7769,7769,SL-8 R/B
8026,8026,METEOR 2-1
8027,8027,SL-3 R/B
8039,8039,SL-3 DEB
8072,8072,COSMOS 755
8073,8073,SL-8 R/B
8110,8110,SL-3 DEB
8293,8293,METEOR 1-22
8294,8294,SL-3 R/B
8325,8325,COSMOS 770
8326,8326,SL-8 R/B
8419,8419,COSMOS 778
8421,8421,SL-8 R/B
8519,8519,METEOR 1-23
8520,8520,SL-3 R/B
8591,8591,COSMOS 789
8597,8597,SL-8 R/B
8645,8645,COSMOS 800
8646,8646,SL-8 R/B
8799,8799,METEOR 1-24
8800,8800,SL-3 R/B
8826,8826,METEOR 1-10 DEB
8827,8827,METEOR 1-10 DEB
8845,8845,METEOR 1-25
8846,8846,SL-3 R/B
8873,8873,COSMOS 823
8874,8874,SL-8 R/B
9025,9025,COSMOS 842
9044,9044,SL-8 R/B
9061,9061,COSMOS 846
9062,9062,SL-8 R/B
9481,9481,METEOR 1-26
9482,9482,SL-3 R/B
9509,9509,COSMOS 864
9510,9510,SL-8 R/B
9610,9610,COSMOS 883
9613,9613,SL-8 R/B
9637,9637,COSMOS 887
9638,9638,SL-8 R/B
9661,9661,METEOR 2-2
9662,9662,SL-3 R/B
9663,9663,SL-3 DEB
9664,9664,SL-3 DEB
9737,9737,COSMOS 890
9738,9738,SL-8 R/B
9846,9846,COSMOS 894
9848,9848,SL-8 R/B
9903,9903,METEOR 1-27
9904,9904,SL-3 R/B
9907,9907,SL-3 DEB
10019,10019,COSMOS 911
10020,10020,SL-8 R/B
10137,10137,COSMOS 926
10138,10138,SL-8 R/B
10141,10141,COSMOS 928
10142,10142,SL-8 R/B
10352,10352,COSMOS 951
10355,10355,SL-8 R/B
10459,10459,COSMOS 962
10461,10461,SL-8 R/B
10491,10491,COSMOS 963
10492,10492,SL-8 R/B
10514,10514,METEOR 2-3
10515,10515,SL-3 R/B
10536,10536,COSMOS 971
10537,10537,SL-8 R/B
10599,10599,COSMOS 985
10600,10600,SL-8 R/B
10692,10692,COSMOS 991
10693,10693,SL-8 R/B
10731,10731,COSMOS 994
10732,10732,SL-8 R/B
10744,10744,COSMOS 996
10745,10745,SL-8 R/B
10776,10776,COSMOS 1000
10777,10777,SL-8 R/B
10917,10917,COSMOS 1011
10918,10918,SL-8 R/B
10974,10974,SL-14 R/B
10991,10991,COSMOS 1027
10992,10992,SL-8 R/B
11084,11084,COSMOS 1045
11085,11085,RADIO 1
11086,11086,RADIO 2
11087,11087,SL-14 R/B
11165,11165,COSMOS 1066
11166,11166,SL-3 R/B
11168,11168,COSMOS 1067
11170,11170,SL-8 R/B
11238,11238,COSMOS 1072
11239,11239,SL-8 R/B
11267,11267,SL-14 R/B
11288,11288,METEOR 2-4
11289,11289,SL-3 R/B
11290,11290,SL-3 DEB
11308,11308,COSMOS 1089
11309,11309,SL-8 R/B
11320,11320,COSMOS 1091
11321,11321,SL-8 R/B
11326,11326,COSMOS 1092
11327,11327,SL-8 R/B
11378,11378,COSMOS 1104
11379,11379,SL-8 R/B
11585,11585,COSMOS 1141
11586,11586,SL-8 R/B
11587,11587,SL-8 DEB
11605,11605,METEOR 2-5
11608,11608,SL-3 R/B
11631,11631,OPS 4682 DEB
11667,11667,COSMOS 1150
11668,11668,SL-8 R/B
11672,11672,SL-14 R/B
11680,11680,COSMOS 1153
11681,11681,SL-8 R/B
11735,11735,COSMOS 1168
11736,11736,SL-8 R/B
11803,11803,COSMOS 1181
11804,11804,SL-8 R/B
11822,11822,SL-3 R/B
11962,11962,METEOR 2-6
11963,11963,SL-3 R/B
12087,12087,COSMOS 1225
12088,12088,SL-8 R/B
12091,12091,COSMOS 1226
12092,12092,SL-8 R/B
12102,12102,OPS 4682 DEB
12297,12297,COSMOS 1244
12298,12298,SL-8 R/B
12404,12404,SL-8 DEB
12456,12456,METEOR 2-7
12457,12457,SL-3 R/B
