CatalogId,NoradId,Name
0505,39132,DOVE 2
5,5,VANGUARD 1
11,11,VANGUARD 2
12,12,VANGUARD R/B
16,16,VANGUARD R/B
20,20,VANGUARD 3
22,22,EXPLORER 7
29,29,TIROS 1
45,45,TRANSIT 2A
46,46,SOLRAD 1 (GREB)
47,47,THOR ABLESTAR R/B
50,50,DELTA 1 R/B
51,51,ECHO 1 DEB (METAL OBJ)
53,53,ECHO 1 DEB (METAL OBJ)
58,58,COURIER 1B
59,59,THOR ABLESTAR R/B
82,82,SCOUT X-1 R/B
85,85,SCOUT X-1 DEB
107,107,EXPLORER 11
115,115,THOR ABLE DEB (YO)
120,120,THOR ABLESTAR DEB
127,127,THOR ABLESTAR DEB
144,144,THOR ABLESTAR DEB
145,145,THOR ABLESTAR DEB
152,152,THOR ABLESTAR DEB
158,158,THOR ABLESTAR DEB
159,159,THOR ABLESTAR DEB
162,162,TIROS 3
163,163,MIDAS 3
167,167,DELTA 1 DEB (YO)
188,188,MIDAS 3 DEB
192,192,MIDAS 4
194,194,MIDAS 4 DEB
195,195,MIDAS 4 DEB
196,196,MIDAS 3 DEB
202,202,TRANSIT 4B
204,204,THOR ABLESTAR R/B
205,205,TRAAC
225,225,THOR ABLESTAR DEB
226,226,TIROS 4
227,227,DELTA 1 DEB (YO)
228,228,DELTA 1 DEB (YO)
245,245,THOR ABLESTAR DEB
268,268,THOR ABLESTAR DEB
271,271,MIDAS 5 (STRONGBACK)
273,273,MIDAS 5 DEB
274,274,MIDAS 5 DEB
299,299,THOR ABLESTAR DEB
309,309,TIROS 5
312,312,DELTA 1 DEB (YO)
320,320,THOR ABLESTAR DEB
327,327,THOR ABLESTAR DEB
333,333,THOR ABLESTAR DEB
337,337,THOR ABLESTAR DEB
340,340,TELSTAR 1
341,341,DELTA 1 R/B
351,351,THOR ABLESTAR DEB
355,355,THOR ABLESTAR DEB
397,397,TIROS 6
404,404,THOR ABLESTAR DEB
417,417,THOR ABLESTAR DEB
446,446,ANNA 1B
447,447,THOR ABLESTAR R/B
463,463,THOR ABLESTAR DEB
467,467,THOR ABLESTAR DEB
474,474,THOR ABLESTAR DEB
479,479,THOR ABLESTAR DEB
503,503,RELAY 1 (A-15)
506,506,EXPLORER 16
515,515,DELTA 1 R/B
537,537,THOR ABLESTAR DEB
544,544,THOR ABLESTAR DEB
545,545,THOR ABLESTAR DEB
548,548,THOR ABLESTAR DEB
549,549,THOR ABLESTAR DEB
558,558,THOR ABLESTAR DEB
560,560,THOR ABLESTAR DEB
561,561,THOR ABLESTAR DEB
573,573,TELSTAR 2 (A-41)
574,574,MIDAS 6 (FTV 1169)
575,575,DELTA 1 R/B
589,589,DASH 1
602,602,WESTFORD NEEDLES
608,608,ERS 6
614,614,HITCH HIKER 1
622,622,MIDAS 7/ERS 10
628,628,WESTFORD NEEDLES
629,629,WESTFORD NEEDLES
630,630,ATLAS AGENA B DEB
631,631,ATLAS AGENA B DEB
634,634,SYNCOM 2 (A 26)
635,635,ERS 9
643,643,THOR ABLESTAR DEB
645,645,THOR ABLESTAR DEB
648,648,THOR ABLESTAR DEB
649,649,THOR ABLESTAR DEB
653,653,THOR ABLESTAR DEB
655,655,THOR ABLESTAR DEB
656,656,THOR ABLESTAR DEB
657,657,THOR ABLESTAR DEB
658,658,THOR ABLESTAR DEB
659,659,THOR ABLESTAR DEB
694,694,ATLAS CENTAUR 2 R/B
698,698,ATLAS CENTAUR 2 DEB
700,700,ATLAS CENTAUR 2 DEB
